,year,month,media,title,annotator 1,annotator 2,annotator 3,label
0,2015,7,cnn,Donald Trump promises Mexico will pay for wall,0,1,1,1
1,2019,9,wsj,"Whistleblower Is Expected to Testify Soon, Schiff Says",0,0,0,0
2,2017,6,washt,Judge blocks Homeland Security move to deport 100 criminal iraqis,0,0,0,0
3,2014,8,nbc,Political Wing of Muslim Brotherhood Dissolved: Reuters,0,0,0,0
4,2020,1,cnn,Trump in private: what really happens,0,0,0,0
5,2017,4,wsj,Earth Isnt as Special as Astronomers (and Other Earthlings) Think,0,0,0,0
6,2018,9,nyt,New iPhones Are Coming. Heres How to Save on an Upgrade.,0,0,0,0
7,2018,2,wsj,Trump Administration Proposes Fees for Futures Industry,0,0,0,0
8,2020,9,nyt,"At N.Y.U., Explaining an Unraveling World Through Basketball",0,0,0,0
9,2016,11,nyt,A Doctor Shortage? Lets Take a Closer Look,0,0,1,0
10,2017,3,nyt,Canada: Leader of the Free World,0,0,1,0
11,2021,7,fedlist,Democrats Definition Of Misinformation Is Whatever Hurts Them Politically Today,1,1,1,1
12,2015,3,nyt,Starting a Life Together With Pi,0,0,0,0
13,2018,1,nbc,Trump's voter fraud investigation is over. Or is it?,1,1,1,1
14,2016,5,nbc,Bison Named America's First National Mammal,0,0,0,0
15,2016,6,wsj,European Luxury Brands Could Seize on Brexit Turmoil,0,0,0,0
16,2014,4,wsj,Rangers Open With a Bang at Garden,0,0,0,0
17,2021,4,cnn,Why very early signs are good for the GOP in 2022,0,0,1,0
18,2016,10,nyt,Tips for Choosing the Right Health Plan,0,0,0,0
19,2014,3,reason,Let Schools Teach (More) Stupid Stuff (Like Creationism),0,1,1,1
20,2019,7,washt,Democrats' open border strategy is to flood America's southern border with millions of migrants,1,1,1,1
21,2014,2,nyt,Kerry Blames Syrian Government for Deadlocked Talks,1,0,1,1
22,2019,1,cnn,Save more and spend less with this easy-to-use personal finance app,0,0,0,0
23,2018,4,nbc,"Trump suggests refugees want to harm the U.S. But they just want to make America great, a new report says",1,1,1,1
24,2014,1,christian,Why the new Volcker Rule will make it harder to assess risk,0,0,0,0
25,2016,6,wsj,Property Professionals Favor U.K. Remaining in EU,1,0,0,0
26,2021,6,wsj,The Great Dissenter Review: High-Court Contrarian,0,0,1,0
27,2017,9,nyt,Donald Trump Jr.s Great Escape,1,1,1,1
28,2017,4,nyt,Partisan Divide Over Economic Outlook Worries Ben Bernanke,1,0,1,1
29,2020,9,fedlist,"Democrats Ramp Up Their War On Americas Institutions, Promising Riots If Trump Nominates A Justice",0,1,1,1
30,2017,9,nyt,"Angela Merkel Makes History in German Vote, but So Does Far Right",1,1,1,1
31,2018,10,nbc,Democrats have a Latino problem. Can they fix it in time?,0,1,1,1
32,2021,3,nyt,Voting Rights Bill Puts Democrats on a Crash Course With the Filibuster,1,1,1,1
33,2020,9,fedlist,Dont Let Politics Stop The Wondrous Europa Clippers Probe Of Jupiter,0,0,1,0
34,2014,6,fedlist,The 8 Stupidest Arguments Being Made About Obamas Bergdahl Swap,1,1,1,1
35,2020,8,fedlist,Supreme Court Supports Democrat Efforts To Make Christians Second-Class Citizens,1,1,1,1
36,2016,1,wsj,PBOC Injects $20 Billion to Calm Nervous Investors,0,0,0,0
37,2020,2,nyt,Theres No Right Way to Mourn,0,0,0,0
38,2014,4,wsj,Europe Investors Buy Risky Debt,0,0,0,0
39,2021,9,christian,Democracy leaders charged under Hong Kong national security law,0,1,0,0
40,2019,9,nyt,What You Get for $3 Million,0,0,0,0
41,2019,12,nyt,"It Doesnt Really Feel Like Were Being Impeached, Trump Says",1,1,1,1
42,2015,8,cnn,Why did it take so long for Clinton to turn over her server?,1,1,1,1
43,2019,10,washt,Matt Gaetz files Adam Schiff ethics complaint,0,0,1,0
44,2018,1,reason,From the Archives,0,0,0,0
45,2014,10,wsj,Espírito Santo Heads for Liquidation,0,0,0,0
46,2022,8,bbg,black unicorns are rare in tech and the downturn could make it worse,0,0,0,0
47,2020,8,nyt,Hot 97 Fires Rap Radio Veteran for Ties to Yusuf Hawkins Killing,0,0,0,0
48,2019,1,reason,"Apple's Tax Tactics Deserve Defending, Not Shaming",0,0,0,0
49,2017,8,wsj,"Gold, Copper Edge Down as Dollar Strengthens",0,0,0,0
50,2016,8,wsj,"As Maturities Approach, IPayment Could Default",0,0,0,0
51,2015,9,nyt,Chinese President Pushes Gender Equality,0,0,1,0
52,2019,5,nyt,Hungarys Nationalist Policies Have Created a Labor Shortage. The Fix Isnt Helping.,0,0,1,0
53,2019,3,nyt,Questions For and About Jared Kushner,0,0,1,0
54,2017,10,nyt,To Kill a Mockingbird Returns to Mississippi Schools Reading List After Outcry,0,0,0,0
55,2017,3,cnn,Democrats will work with Republicans on their own terms,0,1,1,1
56,2014,6,nyt,Her Heart Didnt Belong to Daddy (or the Prince),0,0,0,0
57,2016,5,nyt,"Jean-Baptiste Bagaza, Deposed Leader of a Troubled Burundi, Is Dead at 69",0,0,1,0
58,2017,1,cnn,&Prison Break& return: &This wasn&t a reboot. This was a rebirth&,0,0,0,0
59,2017,2,cnn,Blumenthal: Gorsuch should go public with Trump criticism,1,0,1,1
60,2015,1,reason,Congressional Dems Propose New Food-Safety Super Agency,0,0,0,0
61,2017,12,nbc,"Elderly couple had 60 pounds of marijuana 'presents,' police say",0,0,0,0
62,2014,6,nyt,A Lesson in Injustice,0,0,0,0
63,2016,12,nyt,Why Russias Cyberattack Wasnt Stopped,1,0,1,1
64,2014,1,nyt,"Obama Speaks of Better Days for Economy, With Asterisk",0,0,0,0
65,2014,10,nyt,"Though Bruised, White House Guard Dogs Are Cleared for Duty",0,0,0,0
66,2020,3,wsj,Walter Isaacson: A Spur to the Biotech Century Ahead,0,0,0,0
67,2015,12,fedlist,The Isolationist Smear,0,0,1,0
68,2022,4,bbg,macron vows to end fossil fuels use in pitch to green voters,0,0,0,0
69,2020,11,washt,Do leftist Democrats really think life would be more pleasant without cops around?,1,1,1,1
70,2021,8,cnn,This $15 billion startup promises 30-minute deliveries. Now it&s facing a worker backlash,0,0,0,0
71,2022,3,bbg,europe ramps up coal burning with natural gas out of favor,0,0,0,0
72,2019,6,cnn,Trump downplays Iran tensions after drone shot down,0,0,0,0
73,2014,8,wsj,Pushing Back Against Obama's War on Coal,0,1,1,1
74,2020,12,cnn,"Coca-Cola is cutting 2,200 jobs",0,0,0,0
75,2019,2,wsj,House Passes Public Lands Funding Package,0,0,0,0
76,2019,8,nyt,Barr Seized on Epstein Case as Doubts Mounted About Justice Dept.,0,0,0,0
77,2020,8,washt,"At Republican National Convention, talk about Black lives, not Black Lives Matter movement",1,1,1,1
78,2016,12,reason,Using the dormant commerce clause to challenge state computer crime statutes,0,0,0,0
79,2014,9,washt,Steny Hoyer: No need to cut vacation for Syria vote,0,0,0,0
80,2014,9,christian,Why do American jihadis fight?,0,0,1,0
81,2022,9,christian,Labor unions and workers deeper quest for respect,0,0,0,0
82,2015,4,wsj,Nets Fall to Hawks in Game 2,0,0,0,0
83,2022,7,wsj,Why I Support Reform Prosecutors,1,0,0,0
84,2015,4,cnn,Dilemmas of the Internet age: privacy vs. security,0,0,0,0
85,2014,11,wsj,Now We Can Get Congress Going,0,0,0,0
86,2020,6,cnn,Racism in America: Reflecting on my role as a journalist in this moment,0,0,1,0
87,2022,6,nyt,The Future Criminal Case Against Donald Trump,1,1,1,1
88,2017,11,nyt,"Republicans Are All In on Tax Plans, but Face Real Political Risk",1,1,1,1
89,2016,10,reason,Obama's Mercy,0,0,1,0
90,2015,3,wsj,WPP Cautious as Profit Rises,0,0,0,0
91,2016,3,nyt,How to Build an Art Fair,0,0,0,0
92,2014,1,wsj,India Needs Leaders Who Can Deliver,0,1,1,1
93,2017,2,nbc,Rep. Joaquín Castro is New Congressional Hispanic Caucus Institute Chair,0,0,0,0
94,2016,2,nyt,How Clinton and Sanders Are Courting Black Votes,1,1,1,1
95,2017,5,nyt,Trump Comes to New York. Protesters Come Out.,1,1,1,1
96,2019,5,nyt,We Made Gray Hair Even Prettier With Pastels,0,0,0,0
